start_station_name,casual_count,member_count
S Four Mile Run Dr & Shirlington Rd,897,897
Deanwood Rec Center,926,895
Nannie Helen Burroughs Ave & 49th St NE,765,887
Columbia Pike & S Highland St,483,879
Shady Grove Metro West,1000,875
44th St & New Mexico Ave NW,555,874
Garland Ave & Walden Rd,557,866
Rockville Pike & Old Georgetown Rd,587,856
New Mexico & Cathedral Ave NW,582,849
National Harbor Carousel,11451,841
Branch & Pennsylvania Ave SE,1285,836
S George Mason & Four Mile Run Dr,1104,832
Sunset Hills Rd & Isaac Newton Square,2020,825
Congressional Ln & E Jefferson St,1014,819
12th & Varnum St NE,588,815
Reston Town Center Metro North,1150,812
31st St & S Woodrow St,848,806
S George Mason Dr & S Four Mile Run Dr,695,794
Virginia Hospital Center,605,788
Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,496,784
Shady Grove Metro East,346,779
Alabama Ave & Stanton Rd SE / Shops at Park Village,854,776
Lee Hwy & N Cleveland St,379,771
Monroe St & Monroe Pl,388,767
Lee Hwy & N Adams St,737,765
4th St & Mississippi Ave SE,1161,756
Sligo Ave & Carroll Ln,1293,753
E Fairfax St & S Washington St,835,749
N Hampton Dr & Ford Ave,690,741
Kenmore St & 24th St S,594,729
West Falls Church Metro,931,725
Georgia Ave & Spring St,792,718
Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,674,708
Tanger Outlets,3483,698
South Capitol & Atlantic St SW,646,698
Columbia Pike & George Mason Dr,541,694
Kenilworth Terr & Hayes St. NE,543,678
Eden Center,742,668
Division Ave & Foote St NE,347,666
MLK & Marion Barry Ave SE,262,656
Connecticut Ave & Chevy Chase Lake Dr,1265,653
Reston YMCA,985,652
S Washington St & Wilkes St,770,651
Eisenhower Ave & Ike Dr,1462,644
Founders Row/W Broad St & West St,914,639
Sunset Hills Rd & Discovery Square,301,636
Key Blvd & N Quinn St,453,634
Philadelphia & Maple Ave,386,628
Dennis Ave & Amherst Ave,797,622
Tysons Corner Station,659,621
Grandview & Blueridge Ave,490,613
Merrifield Cinema & Merrifield Town Center,2065,606
Oglethorpe St & 42nd Ave,2316,601
